"_id.Fisher ID",_id.reportDate,reportName,reportDate,group,category,Fisher ID,Shoot Start,Shoot Start Location,Shoot Finish,Shoot Finish Location,Shot Depth (m),Haul Start,Haul End,Comments (Catch),Main Species Index,Main Species,Main Catch Weight (kg),Record Bycatch (Y/N),Fishing Gear,Bait Used,No Hooks,Line Length (m),Mitigation Study,Mitigation type,Fisher Sampling (Y/N),Comments,Bycatch Index,Bycatch Species,Individual / Group,Sex,Alive Count,Dead Count,Retained Count,Total Alive Weight (kg),Total Dead Weight (kg),Total Retained Weight (Kg),Photo (First),Sampled Species Index,Sampled Species,Number of Individuals,Length Category,Sex (Sampled Species),Comments (Sampled Species),AST Correlation ID,APP Correlation ID,Uploaded Date
FM000008,2021-11-13T00:00:00.000Z,FM000008,2021-11-13T00:00:00.000Z,2.0,,FM000008,2021-11-13T21:45:00.000Z,"5003.21,517.93",1899-12-30T00:00:00.000Z,NA,20,,,NA,0,Sardine,4000,N,,,,,,,N,NA,NA,NA,Group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,357e97e1-29fd-44f3-98b6-d20a492953b8,579DBA274DFB466CA87FCC1078613E0D,2021-11-13T22:35:44.008Z
FM000008,2021-11-13T00:00:00.000Z,FM000008,2021-11-13T00:00:00.000Z,2.0,,FM000008,2021-11-13T20:00:00.000Z,"5003.62,517.79",1899-12-30T00:00:00.000Z,NA,14,,,NA,0,Sardine,1000,N,,,,,,,N,NA,NA,NA,Group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,e75952c0-fd28-4fe7-b722-08b55e21f2c4,57DB20DA1D204B8E8A2E1E4BFE398128,2021-11-13T22:35:43.551Z
FM000008,2022-01-16T00:00:00.000Z,FM000008,2022-01-16T00:00:00.000Z,2.0,,FM000008,2022-01-16T17:00:00.000Z,"5002.25,538.79",1899-12-30T00:00:00.000Z,NA,20,,,NA,0,Sardine,15000,N,,,,,,,N,NA,NA,NA,Group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,5855f9df-ac5a-48a3-acc9-50e5753f54f2,E8687B888C69462DA1CF3F5A772EB0A1,2022-01-16T19:19:10.559Z
FM000008,2022-01-16T00:00:00.000Z,FM000008,2022-01-16T00:00:00.000Z,2.0,,FM000008,2022-01-15T16:30:00.000Z,"5005.49,531.7",1899-12-30T00:00:00.000Z,NA,20,,,NA,0,Sardine,14000,N,,,,,,,N,NA,NA,NA,Group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,f73c000d-202a-4bb7-b487-b2a30558550a,E137506457774152A23A5157FD871335,2022-01-16T19:19:12.921Z
FM000008,2022-02-14T00:00:00.000Z,FM000008,2022-02-14T00:00:00.000Z,2.0,,FM000008,2022-02-14T17:30:00.000Z,"5005.33,531.75",1899-12-30T00:00:00.000Z,NA,17,,,NA,0,Sardine,14000,N,,,,,,,N,NA,NA,NA,Group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,99ac189c-d40d-4f7c-8451-55325bc91f4f,B97E5EBEFF0345F885E7AA3E8860F595,2022-02-14T18:40:17.590Z
FM000008,2021-07-25T00:00:00.000Z,FM000008,2021-07-25T00:00:00.000Z,2.0,,FM000008,2021-07-25T10:00:00.000Z,"5003.63,520.09",1899-12-30T00:00:00.000Z,NA,30,,,NA,0,Sardine,9000,N,,,,,,,N,NA,NA,NA,Group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,ea208727-4324-4b84-97a5-eea7c46ed922,9D5B4AAC542844DDBE8309E40F1695EC,2021-07-25T22:06:52.794Z
FM000008,2021-10-22T00:00:00.000Z,FM000008,2021-10-22T00:00:00.000Z,2.0,,FM000008,2021-10-22T22:00:00.000Z,"5002.75,535.19",1899-12-30T00:00:00.000Z,NA,30,,,NA,0,Sardine,5000,N,,,,,,,N,NA,NA,NA,Group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,2b74b062-0ade-41a3-8637-a75bd36ae829,FDB34E16AB8745F69F0486688E073724,2021-10-22T22:55:25.248Z
FM000008,2022-02-02T00:00:00.000Z,FM000008,2022-02-02T00:00:00.000Z,2.0,,FM000008,2022-02-02T18:30:00.000Z,"5006.91,527.77",1899-12-30T00:00:00.000Z,NA,10,,,NA,0,Sardine,5000,Y,,,,,,,N,NA,0,mackerel,Group,,0,0,300,NA,NA,NA,NA,NA,NA,,,NA,NA,40e5c59d-5ced-44fe-ad5d-d8873dc7fdd7,FA3245509BF5424E8F8F0234E3382516,2022-02-02T20:05:20.471Z
FM000008,2022-02-02T00:00:00.000Z,FM000008,2022-02-02T00:00:00.000Z,2.0,,FM000008,2022-02-02T17:30:00.000Z,"5006.23,532.16",1899-12-30T00:00:00.000Z,NA,10,,,NA,0,Sardine,3000,Y,,,,,,,N,NA,0,anchovy,Group,,0,0,700,NA,NA,NA,NA,NA,NA,,,NA,NA,53cce646-c6b7-4ae2-ae4d-bee0e3d81e9d,4F364D22AAEF48DFB1217BAB03D5C77A,2022-02-02T20:05:19.006Z
FM000008,2021-10-30T00:00:00.000Z,FM000008,2021-10-30T00:00:00.000Z,2.0,,FM000008,2021-10-30T18:00:00.000Z,"5005.76,528.86",1899-12-30T00:00:00.000Z,NA,30,,,NA,0,Sardine,15000,N,,,,,,,N,NA,NA,NA,Group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,6276447a-82bf-449e-87f5-ea73721858c8,2CB93ACDCD064423A059BC5730FB1E92,2021-10-30T19:25:06.140Z
