"TL","month","year","source","fishingseason","Freq","wtMean"
15,"Dec",2019,"fisher","2019-2020",1,19.508904109589
15.5,"Dec",2019,"fisher","2019-2020",2,19.508904109589
16,"Dec",2019,"fisher","2019-2020",1,19.508904109589
16.5,"Dec",2019,"fisher","2019-2020",4,19.508904109589
17,"Dec",2019,"fisher","2019-2020",33,19.508904109589
17.5,"Dec",2019,"fisher","2019-2020",35,19.508904109589
18,"Dec",2019,"fisher","2019-2020",85,19.508904109589
18.5,"Dec",2019,"fisher","2019-2020",59,19.508904109589
19,"Dec",2019,"fisher","2019-2020",105,19.508904109589
19.5,"Dec",2019,"fisher","2019-2020",85,19.508904109589
20,"Dec",2019,"fisher","2019-2020",106,19.508904109589
20.5,"Dec",2019,"fisher","2019-2020",50,19.508904109589
21,"Dec",2019,"fisher","2019-2020",84,19.508904109589
21.5,"Dec",2019,"fisher","2019-2020",34,19.508904109589
